original_job_id,job_id,title,institution,company_id,location,experience_years_required,experience_level,field_of_study,salary_min,salary_max,published_at,expires_at,status,real_total_applicants,real_total_engagements
1903001000-150101000000000000-00025,b8d18468-c272-5ecf-b13e-225156675f59,Digital Ambassador Supervisor (Gatsibo),RWANDA INFORMATION SOCIETY AUTHORITY,9bb84a42-8cd4-5d59-80cf-5b9583db52fa,Nyarugenge,2,mid,"Business, Administration and Law",450000,545692,09/06/2026,25/09/2026,active,318,318
2903000000-902101000000000000-00001,545c87e9-bcf7-5690-857d-661e7bd94136,Transformation Eastern Province of Rwanda Through Adaption Project Manager,RWANDA FORESTRY AUTHORITY,db8947ee-6112-5748-b14c-a84efb32d51e,Ngoma,7,lead,"Business, Administration and Law",575000,709181,02/10/2026,31/01/2027,active,67,67
0800000000-101001000000000000-00080,9a357ee8-af75-5745-9d6b-96245056e2fe,Communication Officer,Ministry of Foreign Affairs and International Cooperation,8829c2b2-9325-561d-bbf1-693a04731d39,Rusizi,0,entry,Information and Communication Technologies (ICTs),220000,254395,21/09/2026,06/02/2027,active,175,175
2903000000-902200000000000000-00060,678a90d5-d386-5291-8cf3-cfa9369493fd,Logistic Officer,RWANDA FORESTRY AUTHORITY,db8947ee-6112-5748-b14c-a84efb32d51e,Gasabo,2,mid,"Business, Administration and Law",450000,522652,07/07/2026,07/02/2027,active,1769,1769
1202000000-901102040000000000-00001,bc77268f-536b-5822-a4b3-f8b7f4693363,Adult Skills and Competencies Data Analysis and Reporting Specialist,NATIONAL INSTITUTE OF STATISTICS OF RWANDA,009cd6a6-c7db-581a-b467-7926ca0b28a1,Nyamagabe,5,senior,"Business, Administration and Law",525000,639698,12/06/2026,24/10/2026,active,39,39
1903000000-150105000000000000-00202,9da3b1e1-bc6c-5ac8-aa19-87241bfd0366,PKI Senior Security Auditor,RWANDA INFORMATION SOCIETY AUTHORITY,9bb84a42-8cd4-5d59-80cf-5b9583db52fa,Gicumbi,1,entry,"Business, Administration and Law",425000,517538,30/09/2026,30/01/2027,active,530,530
1200000000-101500000000000000-00041,d777b059-1584-5dfe-ad1e-d8a7b6ef7c14,Bilateral Cooperation Coordinator,Ministry of Finance and Economic Planning,8a7a1c75-89f5-5834-82ab-5d468cc98899,Kicukiro,3,mid,"Business, Administration and Law",475000,640847,24/07/2026,31/12/2026,active,9,9
4800000000-801103020000000000-00034,31b8afd7-e3b3-5fa0-b179-63f240a719da,Water and Sanitation Officer,NYAMAGABE DISTRICT,15da6450-8593-5e88-bf88-24a301190e36,Nyamagabe,0,entry,"Business, Administration and Law",220000,263931,22/09/2026,18/05/2027,active,252,252
6000000000-812301010100000000-00086,f7405ffa-49b1-5692-92de-6d8d8f73aff2,Secretary to Central Secretariat,RUTSIRO District,19087e75-e078-5bad-9dcc-999331552532,Rutsiro,0,entry,"Business, Administration and Law",220000,259996,31/08/2026,06/02/2027,active,333,333
1001000000-140200000000000000-00167,1b12e498-10cd-5198-913f-75a324a0b3b7,Occupational Health and Safety Management System Standards Specialist,RWANDA STANDARDS BOARD,2359a6c3-9b45-5036-9b52-03c3fd918bfc,Burera,3,mid,"Business, Administration and Law",475000,597817,04/06/2026,20/12/2026,active,35,35
6500000000-801108000000000000-00088,2568b234-b64e-5b21-bc67-083eb7a97c01,Secretary and Customer Care,GAKENKE DISTRICT,1f377f27-ab0e-5f6d-81f2-96b0efeb9b09,Gakenke,0,entry,"Business, Administration and Law",220000,266148,26/07/2026,26/11/2026,active,324,324
6200003001-020000000100000000-00049,cb9f31d3-8369-5093-9e7c-26960bcc91da,Cashier A2 /A1,GICUMBI DISTRICT,afc9e29c-6db0-54ae-91bc-4cb20c590c45,Gicumbi,0,entry,"Business, Administration and Law",220000,282833,18/09/2026,24/02/2027,active,1149,1149
4200003001-222101000000000000-00020,ba578974-c63b-5ac1-8f05-403839351147,Head of Social Services,GATSIBO DISTRICT,a49ac88d-1113-5354-91a2-c95d6f247102,Bugesera,0,entry,Health and Welfare (Health and Medical Sciences),220000,279317,25/08/2026,23/01/2027,active,422,422
5200003001-020000000200000000-00012,7f6abd3e-c69f-5e34-96ab-50b2a4b090f1,Cashier A2,NYANZA DISTRICT,59f60bc1-38a0-554a-8be5-c603b26aa28b,Huye,0,entry,"Business, Administration and Law",220000,305704,23/06/2026,11/10/2026,active,1699,1699
2205000000-140200000000000000-02101,6636e521-7f4a-5aa9-9943-8020e1a5c44d,Geochemistry Laboratory Expert,"Rwanda Mines,petroleum And Gas Board",1d3e4db1-00f0-5eca-8451-c3f669797a62,Nyamagabe,0,entry,"Natural Sciences, Mathematics and Statistics",220000,271853,30/07/2026,10/03/2027,active,385,385
4100000000-080101030300000000-00046,64f4d66b-4f82-53e2-8b98-515b9f30b753,Employment Promotion Officer,BUGESERA DISTRICT,c8a4c97f-7988-5f08-822d-7183bfec5e8e,Bugesera,0,entry,"Business, Administration and Law",220000,255263,10/07/2026,18/11/2026,active,648,648
1400000000-101103000000000000-00026,e3ec72fb-535a-55c1-998b-b1214ac00e2a,Education Financing Specialist,Ministry of Education,22bcc10b-e8c4-5b9e-9294-54c41b569b8b,Rutsiro,3,mid,"Business, Administration and Law",475000,625442,24/08/2026,05/02/2027,active,64,64
0300000000-501202000000000000-00111,f146e3c9-b7d6-5260-ada0-2c72cea589ce,"Committee Clerk of Land, Agriculture, Livestock and Environment",CHAMBER OF DEPUTIES,e00626df-3dff-5686-9595-97588504d56c,Rutsiro,3,mid,"Business, Administration and Law",475000,618102,09/09/2026,26/01/2027,active,1,1
2600000000-101001000000000000-00045,0f5d0faa-2e90-5313-95d9-8e393607444f,IOSC and family welfare technical advisor,Ministry of Gender and Family Promotion,178f4856-6220-5693-9c65-dbd3b979fd97,Gicumbi,5,senior,"Natural Sciences, Mathematics and Statistics",525000,733475,23/06/2026,27/10/2026,active,331,331
2600000000-101200000000000000-00011,f25e9575-ed7c-551b-918b-d4124747c0e0,Gender Policy & Mainstreaming Specialist,Ministry of Gender and Family Promotion,178f4856-6220-5693-9c65-dbd3b979fd97,Gasabo,3,mid,"Business, Administration and Law",475000,581895,28/07/2026,01/11/2026,active,476,476
5700003001-212000000000000000-00005,5f3a99d8-ae67-569f-8097-2a89de1fdbc2,Internal Auditor,KARONGI District,850a9fe3-e6e6-5af6-a956-e50c7dad50c9,Karongi,0,entry,"Business, Administration and Law",220000,261956,26/10/2026,28/01/2027,active,0,0
6300003001-201015000000000000-00004,a8fa6d65-c630-5014-9cb0-820be9c489fb,Plumbing Technician,MUSANZE DISTRICT,429cf6c7-e319-5db8-b32d-d396baa1f819,Musanze,0,entry,"Engineering, Manufacturing and Construction",220000,296993,22/08/2026,08/02/2027,active,72,72
5900000000-080000000000000000-00009,8ebaa23d-2b27-5aa5-b2fa-bc95a6cce1f4,Advisor to the Executive Committee,NYAMASHEKE DISTRICT,df7f48ff-d7a0-5e14-bcac-b031721cb870,Nyamasheke,3,mid,"Business, Administration and Law",475000,655028,20/10/2026,16/02/2027,active,513,513
1002000000-901200000000000000-00033,698f0d2a-904f-534a-913d-70fc0963b938,Accountant,RWANDA COOPERATIVES AGENCY,b8aa8b9e-76e8-5139-89a0-0567004b7ffa,Nyagatare,0,entry,"Business, Administration and Law",220000,258929,05/06/2026,04/01/2027,active,1479,1479
1413000000-901050000000000000-00902,45981540-a6bf-58ba-bf3e-f7c051533183,Foundation ECLPE teacher A0,RWANDA BASIC EDUCATION BOARD,095aeb11-7497-50e3-9448-15f9a12a6d07,Ngoma,0,entry,Education,220000,298077,01/08/2026,08/03/2027,active,1186,1186
1903000000-150101000000000000-00003,dd7d9eee-6fbd-504c-8e1b-905bc3b91231,Secretary to Central Secretariat,RWANDA INFORMATION SOCIETY AUTHORITY,9bb84a42-8cd4-5d59-80cf-5b9583db52fa,Nyagatare,0,entry,Education,220000,259798,10/10/2026,07/03/2027,active,1024,1024
1603000000-201802000000000000-00001,ad5de71e-fb7c-5929-a31f-fdaea788b958,Director of Finance & Logistics Unit,NEURO PSYCHIATRIC TEACHING HOSPITAL CARAES NDERA,cbdc2732-c253-5564-aa7f-c104f4d6409f,Gasabo,3,mid,"Business, Administration and Law",475000,626061,03/09/2026,16/01/2027,active,114,114
5700000000-801010111700000000-00074,37849706-d245-5e02-850b-0c6edfa06324,Social Affairs Officer,KARONGI District,850a9fe3-e6e6-5af6-a956-e50c7dad50c9,Karongi,0,entry,Education,220000,268338,30/09/2026,11/04/2027,active,1840,1840
4800003001-020000002200000000-00012,106c1bb2-7e7a-5716-9474-f2946ebc40ee,Cashier A2,NYAMAGABE DISTRICT,15da6450-8593-5e88-bf88-24a301190e36,Nyamagabe,0,entry,"Business, Administration and Law",220000,289415,05/10/2026,02/05/2027,active,511,511
1413000000-901050000000000000-00905,55d9b7ad-2b5b-578c-a218-2e2b00729ac8,Physical Education  and Sport Teacher (A0),RWANDA BASIC EDUCATION BOARD,095aeb11-7497-50e3-9448-15f9a12a6d07,Rutsiro,0,entry,Education,220000,284287,19/08/2026,24/02/2027,active,465,465
1413000000-090101010300000000-00079,f3645f17-6c85-579f-a2f2-7ba54445130e,Career Guidance and Counseling Programmes Officer,RWANDA BASIC EDUCATION BOARD,095aeb11-7497-50e3-9448-15f9a12a6d07,Nyamasheke,0,entry,Education,220000,307557,27/08/2026,02/03/2027,active,2081,2081
1420000000-908000000000000000-01061,f94357e7-913a-5b5f-b919-333d7c26d646,Administrative Assistant,RWANDA TVET BOARD,445f077e-502f-5357-9104-6a4bc44ae644,Huye,0,entry,Education,220000,270733,06/06/2026,24/11/2026,active,1109,1109
5000003001-020000000800000000-00006,b1b324de-0d35-52d4-b5a4-0fb76c2afc9c,Data Manager A1/A0,MUHANGA DISTRICT,36d554e4-6fbb-53ca-aae7-53010481a5f7,Muhanga,0,entry,"Business, Administration and Law",220000,271526,24/06/2026,17/02/2027,active,697,697
6100000000-801102020000000000-00073,5d3661f3-2e8e-54aa-ac7c-95538d995bc9,Health and Sanitation Officer,BURERA DISTRICT,c4128617-4671-5d0c-90db-21350d0dfb04,Burera,0,entry,"Natural Sciences, Mathematics and Statistics",220000,305916,26/10/2026,31/05/2027,active,220,220
1600000000-111011130102000000-00023,56ab38ea-1cff-5922-b548-941b2dcb2751,Clinical transition Sites Financial support officers,Ministry of Health,569d7a80-d68b-525d-b2c7-e6a8c7d11404,Nyamasheke,2,mid,"Business, Administration and Law",450000,520616,12/09/2026,10/02/2027,active,390,390
5800000000-801101033000000000-00075,98da2d36-fe8a-59a6-b691-69fe3be42aae,Education Officer,NGORORERO DISTRICT,03e7a4e2-5073-53f7-bef5-778974608c8a,Huye,0,entry,Education,220000,299351,02/09/2026,24/12/2026,active,1416,1416
1419005000-030000000000000000-00004,b0062ac5-4c19-5947-a6fc-39912ac36be5,Secretary to Central Secretariat,RP NGOMA COLLEGE,52e7313f-4639-5d79-bad8-2615e3b7e280,Ngoma,0,entry,"Business, Administration and Law",220000,256075,13/09/2026,15/02/2027,active,151,151
1800000000-101101040000000000-11610,27b03501-651b-5ba4-8d64-275d05c90598,Railway Transport Senior Engineer,Ministry of Infrastructure,02256b11-7514-502e-85c5-4b5ed28c00b5,Bugesera,3,mid,"Services, Tourism and Hospitality",475000,648095,01/09/2026,31/12/2026,active,103,103
5500003001-020000000100000000-00045,93723cef-28eb-5345-adc1-c1654f369087,Infrastructure Maintenance Officer A1/A0,NYABIHU DISTRICT,3072086c-23c7-5d94-ab83-8a26850e0780,Kayonza,0,entry,"Engineering, Manufacturing and Construction",220000,276147,12/07/2026,15/12/2026,active,618,618
1202000000-901101050000000000-00036,da837068-372c-5910-94e3-420e1ace2593,Application Admin & Data Processing Officer,NATIONAL INSTITUTE OF STATISTICS OF RWANDA,009cd6a6-c7db-581a-b467-7926ca0b28a1,Ngoma,0,entry,"Natural Sciences, Mathematics and Statistics",220000,296974,06/08/2026,18/12/2026,active,515,515
5700000000-080101010400000000-00013,7bd01ab1-1be4-5f5d-8176-dd1855fd8a13,Director of Agriculture and Natural Resources,KARONGI District,850a9fe3-e6e6-5af6-a956-e50c7dad50c9,Karongi,3,mid,"Business, Administration and Law",475000,547926,03/09/2026,14/01/2027,active,1012,1012
5100000000-801112000000000000-00071,f40bc0fd-df97-59a6-8b4d-ca7f7a6a69b6,Good Governance and Specific Programs Officer,KAMONYI DISTRICT,30d0d5e5-7597-5c8c-a2fc-475f3f56cf79,Rubavu,0,entry,"Business, Administration and Law",220000,288597,24/09/2026,24/02/2027,active,1679,1679
1417000000-301101161102000000-00914,483e0bb5-ac5d-5934-a51e-c40ffe96422e,Lab Technician School of Engineering- CST,UNIVERSITY OF RWANDA,b48f5840-b3ad-581e-977f-655b68b83732,Karongi,1,entry,"Engineering, Manufacturing and Construction",425000,529224,12/06/2026,11/09/2026,active,59,59
1000001000-101000000000000000-00031,aafdc3cc-851c-500d-9c10-5fe271b8b214,Gender Specialist,Ministry of Trade and Industry,681ca0ab-1c89-5862-994f-4cb0a2998110,Gakenke,3,mid,"Natural Sciences, Mathematics and Statistics",475000,644763,01/09/2026,20/03/2027,active,41,41
1400000000-101103000000000000-00031,4cff98b3-2bf6-59f7-b859-50afe610ba67,EMIS and Education Statistics Specialist,Ministry of Education,22bcc10b-e8c4-5b9e-9294-54c41b569b8b,Rutsiro,3,mid,"Business, Administration and Law",475000,649191,03/10/2026,28/04/2027,active,485,485
6200003001-205010000000000000-00018,8538ce49-275f-51c5-8811-00c8658d2aad,Accountant,GICUMBI DISTRICT,afc9e29c-6db0-54ae-91bc-4cb20c590c45,Gicumbi,0,entry,"Business, Administration and Law",220000,304103,02/07/2026,08/01/2027,active,30,30
1700000000-091012000000000000-00030,03fb8c36-91dc-54d5-a8fc-94bdfd7d7e19,Director of Seized and Confiscated Assets Management,NATIONAL PUBLIC PROSECUTION AUTHORITY,98fa0339-7034-578d-9127-c8660fbc9cc6,Huye,3,mid,"Business, Administration and Law",475000,647466,16/07/2026,14/12/2026,active,995,995
5200003001-020000000300000000-00011,a445acaa-f16c-5845-a9e7-f86cfae83b75,Social Workers,NYANZA DISTRICT,59f60bc1-38a0-554a-8be5-c603b26aa28b,Nyarugenge,0,entry,Health and Welfare (Health and Medical Sciences),220000,297604,01/11/2026,18/05/2027,active,474,474
1413000000-090104010000000000-00061,84dc855d-1ed1-584d-b84b-9f82dc86bc88,Text Book Illustration Officer,RWANDA BASIC EDUCATION BOARD,095aeb11-7497-50e3-9448-15f9a12a6d07,Kicukiro,0,entry,Information and Communication Technologies (ICTs),220000,303451,15/08/2026,07/04/2027,active,33,33
1412001000-301205050000000000-00069,2d48959f-5f81-5ae9-9b63-fdd309980665,Workshop Assistant in Air Conditioning and Refrigeration Technology,RP KIGALI COLLEGE,98dd66ee-6500-5d25-ae65-e5c8c8b7e2ca,Rwamagana,0,entry,Information and Communication Technologies (ICTs),220000,271773,25/09/2026,18/04/2027,active,65,65
2204000000-901400000000000000-00002,ff1d4f5e-8509-59a5-875b-b089d42d3b07,Secretary to Finance,RWANDA METEOROLOGY AGENCY,0acf8cfa-735a-5f72-ab5b-eae1b8265c24,Rusizi,0,entry,"Business, Administration and Law",220000,259155,23/06/2026,23/10/2026,active,753,753
4100000000-080101000000000000-00009,f59edd7e-aefe-5102-ab30-723e2230d46b,Advisor to the Executive Committee,BUGESERA DISTRICT,c8a4c97f-7988-5f08-822d-7183bfec5e8e,Bugesera,3,mid,"Business, Administration and Law",475000,581261,24/09/2026,21/05/2027,active,982,982
1700000000-090800000000000000-00048,b12d96eb-1e1e-5234-9763-a3ee39515467,Chief Accountant,NATIONAL PUBLIC PROSECUTION AUTHORITY,98fa0339-7034-578d-9127-c8660fbc9cc6,Karongi,3,mid,"Business, Administration and Law",475000,651835,20/10/2026,03/02/2027,active,81,81
0901001004-110100000000000000-00006,e2112768-7fe2-5c08-8ce7-d4e1dbce3038,"Community Development, Gender and Youth Specialist",RWANDA AGRICULTURE AND ANIMAL RESOURCES DEVELOPEMENT BOARD,99fc44bf-3a5d-5cf2-bb48-d634310e7de8,Musanze,0,entry,"Business, Administration and Law",220000,268535,01/09/2026,30/03/2027,active,1145,1145
2201001001-901001000000000000-00049,50d4de6d-5a95-5fe0-96cc-2e6801355e6e,Driver,RWANDA ENVIRONMENT MANAGEMENT AUTHORITY,42d71c20-d5d9-5490-ab5d-33c95b2de8c7,Nyamasheke,3,mid,"Services, Tourism and Hospitality",475000,604005,30/06/2026,25/11/2026,active,974,974
5100000000-801102000000000000-00033,3b8a19e2-184a-5559-8276-c7eff0a89004,Road Development and Maintenance Engineer,KAMONYI DISTRICT,30d0d5e5-7597-5c8c-a2fc-475f3f56cf79,Rutsiro,0,entry,"Engineering, Manufacturing and Construction",220000,261486,22/09/2026,29/04/2027,active,418,418
1200000000-101105030000000000-00173,bd333acf-cd0a-51ee-a5bd-59125e3a0ef3,IFMIS & System Specialist,Ministry of Finance and Economic Planning,8a7a1c75-89f5-5834-82ab-5d468cc98899,Nyagatare,3,mid,"Natural Sciences, Mathematics and Statistics",475000,659281,06/07/2026,21/01/2027,active,287,287
0303000000-060300000000000000-00011,38e4c08b-7d03-5214-bff3-cbbffde79466,Research and Publication Specialist,National Commission for Human Rights,991f005e-39cc-55c7-93da-f1b14fa73994,Nyamagabe,1,entry,"Business, Administration and Law",425000,576619,20/10/2026,05/04/2027,active,266,266
6200003001-201024010500000000-00004,1ae76987-0de9-5f73-8804-ccffd654df5b,Plumbing Technician,GICUMBI DISTRICT,afc9e29c-6db0-54ae-91bc-4cb20c590c45,Gicumbi,0,entry,"Engineering, Manufacturing and Construction",220000,261801,12/10/2026,07/04/2027,active,35,35
5500003001-020000000100000000-00019,34975057-83d3-5e13-9880-d66777fdd62a,ICT Officer,NYABIHU DISTRICT,3072086c-23c7-5d94-ab83-8a26850e0780,Bugesera,0,entry,"Natural Sciences, Mathematics and Statistics",220000,265861,27/10/2026,18/06/2027,active,1044,1044
0901001004-110204000000000000-00003,5b734735-371b-59ba-9aa8-22de3e93f313,Agribusiness Specialist,RWANDA AGRICULTURE AND ANIMAL RESOURCES DEVELOPEMENT BOARD,99fc44bf-3a5d-5cf2-bb48-d634310e7de8,Ngoma,5,senior,"Business, Administration and Law",525000,705970,13/10/2026,24/04/2027,active,27,27
6500000000-801103110000000000-00071,1ee4caba-e9e6-5969-b27b-51a6ed7f8d29,Good Governance and Specific Programs Officer,GAKENKE DISTRICT,1f377f27-ab0e-5f6d-81f2-96b0efeb9b09,Gakenke,0,entry,"Business, Administration and Law",220000,259068,03/09/2026,01/01/2027,active,1317,1317
5700003001-202011000000000000-00110,69e5ab7e-efaa-58b9-860e-7e4e58916ef1,"Midwife, Head of Department A0",KARONGI District,850a9fe3-e6e6-5af6-a956-e50c7dad50c9,Karongi,0,entry,Health and Welfare (Health and Medical Sciences),220000,270033,12/06/2026,25/12/2026,active,8,8
2318000000-901200000000000000-00033,e5ed184b-9ddb-53c1-8c06-06c1362a4c8d,Accountant,NATIONAL REHABILITATION SERVICE,37d37d39-6884-5b72-813c-5be1d0aebeab,Musanze,0,entry,"Business, Administration and Law",220000,284459,11/08/2026,01/12/2026,active,294,294
2300000000-010102070000000000-00046,99cad230-0535-5ba1-a779-19b546a2aeb9,Human Resource Officer,Ministry of Local Government,3c489e18-6c38-5fad-b9de-8244b54480e6,Nyagatare,0,entry,"Business, Administration and Law",220000,270456,20/09/2026,03/02/2027,active,335,335
0901001014-140000000000000000-00028,77ce79c4-68e4-5b0c-93fb-904094ee7579,Watershed Management Officer,RWANDA AGRICULTURE AND ANIMAL RESOURCES DEVELOPEMENT BOARD,99fc44bf-3a5d-5cf2-bb48-d634310e7de8,Huye,5,senior,"Business, Administration and Law",525000,610559,22/08/2026,25/01/2027,active,148,148
5800000000-801101032304000000-00324,8962dc09-dc71-584f-891d-d9ff14723a07,Socio-Economic Development Officer,NGORORERO DISTRICT,03e7a4e2-5073-53f7-bef5-778974608c8a,Ngoma,0,entry,Education,220000,257614,03/07/2026,17/12/2026,active,3583,3583
5400003002-021101010000000000-00046,9eec1865-045b-55dd-9084-f79e74398bcc,Biomedical Technician A1/A0,RUSIZI DISTRICT,ccdd88e7-36d4-5f77-8419-148f566e219f,Rusizi,0,entry,"Engineering, Manufacturing and Construction",220000,268472,25/07/2026,21/03/2027,active,2,2
7000000000-801201010109020000-00396,3d4498a9-6933-5df0-8742-586fc91cb378,Land Management and Notary/ Team Leader,CITY OF KIGALI,b483bb3a-2b51-5e1c-9ff4-3e206ca73582,Rusizi,2,mid,"Business, Administration and Law",450000,585988,24/08/2026,26/11/2026,active,39,39
1413000000-901050000000000000-00107,33bee53f-8593-5abb-8488-2cde3dc73330,Biology and Chemistry teacher A1,RWANDA BASIC EDUCATION BOARD,095aeb11-7497-50e3-9448-15f9a12a6d07,Burera,0,entry,Education,220000,294713,22/09/2026,23/12/2026,active,1292,1292
2903000000-090100000000000000-00019,60cbd3d0-10f0-5dad-bd01-54d80228d484,Human Resource Management specialist,RWANDA FORESTRY AUTHORITY,db8947ee-6112-5748-b14c-a84efb32d51e,Musanze,3,mid,"Business, Administration and Law",475000,561479,23/10/2026,14/06/2027,active,86,86
2318000000-901102000000000000-00036,86a4acc4-1f7e-5ba9-aec9-c7015870ab47,Reintegration Officer,NATIONAL REHABILITATION SERVICE,37d37d39-6884-5b72-813c-5be1d0aebeab,Kayonza,0,entry,Education,220000,272880,10/08/2026,09/12/2026,active,575,575
5900000000-801105180000000000-00088,8ecd6dd5-e86e-5daf-85b1-a1c168a8017e,Secretary and Customer Care,NYAMASHEKE DISTRICT,df7f48ff-d7a0-5e14-bcac-b031721cb870,Nyamasheke,0,entry,"Business, Administration and Law",220000,297443,25/06/2026,30/09/2026,active,465,465
6500003001-227001000000000000-00003,ed99a622-ba1c-5350-b28a-d0b29ebbf082,Procurement Officer,GAKENKE DISTRICT,1f377f27-ab0e-5f6d-81f2-96b0efeb9b09,Gakenke,0,entry,"Business, Administration and Law",220000,287440,22/09/2026,04/01/2027,active,42,42
1602000000-201302000000000000-00082,d431bb2e-f29a-56d9-8e99-2ab77beb181a,Procurement Officer,CENTRAL UNIVERSITY HOSPITAL OF BUTARE,1cc90452-1205-5182-b85d-1874e4c0b5aa,Ngoma,0,entry,"Business, Administration and Law",220000,258647,11/10/2026,03/04/2027,active,106,106
5800000000-801101030101000000-00085,8f87d635-98c2-5ac4-9523-97e57f820b9e,Documentation and Archives Officer,NGORORERO DISTRICT,03e7a4e2-5073-53f7-bef5-778974608c8a,Rwamagana,0,entry,"Business, Administration and Law",220000,273285,29/09/2026,17/03/2027,active,57,57
2500000000-101901000000000000-00080,2b152ecd-042c-515d-8073-7a0645d898e1,Socio-Economic Recovery Specialist,Ministry in charge of Emergency Management,89ef17e7-ce34-5e50-93b4-b34fe9fb998c,Musanze,3,mid,"Business, Administration and Law",475000,650287,16/09/2026,09/03/2027,active,1012,1012
1605000000-901102030200000000-00224,f0482ca5-a3fc-51b7-83cc-e91b15c5a2a2,Waste Management Systems Specialist,RWANDA BIO MEDICAL CENTER,fff3e870-09bd-55ae-a770-c558a61b9c12,Gicumbi,3,mid,"Engineering, Manufacturing and Construction",475000,654634,14/08/2026,04/03/2027,active,104,104
1700000000-960119000000000000-00034,75ea19fd-efbe-595c-b768-6c08830c6b98,Internal Resources Management Specialist at Intermediate Level,NATIONAL PUBLIC PROSECUTION AUTHORITY,98fa0339-7034-578d-9127-c8660fbc9cc6,Musanze,3,mid,"Business, Administration and Law",475000,650947,03/09/2026,07/03/2027,active,1111,1111
0901000094-140000000000000000-00010,acaa3a5b-207e-5ed7-a5a2-3d37a001ee25,Production Manager,RWANDA AGRICULTURE AND ANIMAL RESOURCES DEVELOPEMENT BOARD,99fc44bf-3a5d-5cf2-bb48-d634310e7de8,Ngoma,5,senior,"Natural Sciences, Mathematics and Statistics",525000,699207,03/07/2026,08/02/2027,active,201,201
5000003001-210010000000000000-00024,d66c1815-37ba-519b-97e6-fc1bdc39a947,"Planning, Monitoring and Evaluation Officer",MUHANGA DISTRICT,36d554e4-6fbb-53ca-aae7-53010481a5f7,Muhanga,0,entry,"Business, Administration and Law",220000,300474,24/07/2026,17/12/2026,active,1287,1287
1413000000-901050000000000000-00103,3eefad3c-7ba0-5e1f-b321-41ca0680ab2b,Mathematics and Entrepreneurship teacher A1,RWANDA BASIC EDUCATION BOARD,095aeb11-7497-50e3-9448-15f9a12a6d07,Gasabo,0,entry,Education,220000,265858,09/08/2026,12/02/2027,active,70,70
4000000000-801102150000000000-00309,de94894a-b52e-57e9-816f-7ba25b93bf08,Finance and Administration Officer,NGOMA DISTRICT,2cba1cd1-01b2-585b-a41f-40719659af36,Ngoma,0,entry,"Business, Administration and Law",220000,295354,06/07/2026,20/02/2027,active,1169,1169
2318000000-901000000000000000-00034,29a6f946-00bb-55ee-807a-df5b6e2cc921,Procurement Officer,NATIONAL REHABILITATION SERVICE,37d37d39-6884-5b72-813c-5be1d0aebeab,Muhanga,0,entry,"Business, Administration and Law",220000,254655,15/09/2026,05/02/2027,active,1267,1267
6900003001-201605030700000000-00005,88ff4fcf-5456-5260-ab18-2e14593f5075,Social Services Team Leader,GASABO DISTRICT,0eb370b0-03ce-502d-98e9-68c3995e2b34,Gasabo,1,entry,Health and Welfare (Health and Medical Sciences),425000,589548,25/10/2026,03/05/2027,active,8,8
5600000000-801900000000000000-00042,7ea21eb0-b702-5ae2-ae40-69a2e2943299,District Infrastructure Property Management Officer,RUBAVU DISTRICT,2e4a68ad-17b3-52cb-8477-bdcc3192a60e,Rubavu,0,entry,"Business, Administration and Law",220000,273275,13/10/2026,28/01/2027,active,301,301
1432000000-101103000000000000-00022,389a48d3-0b92-5440-884f-9300f344c472,Environmental & Social Safeguard Officer,Ministry of Education,22bcc10b-e8c4-5b9e-9294-54c41b569b8b,Kayonza,2,mid,"Natural Sciences, Mathematics and Statistics",450000,569132,29/10/2026,19/03/2027,active,1027,1027
1600000000-111011110100000000-00049,091cc233-6557-57e7-84f8-5352f8b4bbf5,Front Desk  Officer,Ministry of Health,569d7a80-d68b-525d-b2c7-e6a8c7d11404,Muhanga,2,mid,"Business, Administration and Law",450000,538137,16/07/2026,01/02/2027,active,137,137
7000000000-801203100000000000-00307,9df19267-40d0-55f3-96ed-19c7310a004f,Urban Planning Officer,CITY OF KIGALI,b483bb3a-2b51-5e1c-9ff4-3e206ca73582,Kicukiro,0,entry,"Engineering, Manufacturing and Construction",220000,257025,24/07/2026,28/02/2027,active,1004,1004
4100003001-219012000000000000-00014,3db7d096-2b2a-5a4f-8cd6-2ecf06e923a5,Accountant,BUGESERA DISTRICT,c8a4c97f-7988-5f08-822d-7183bfec5e8e,Bugesera,0,entry,"Business, Administration and Law",220000,286384,12/07/2026,22/11/2026,active,93,93
1606000000-999990110311100000-00098,29ba5a51-0221-5627-806a-aae6af78b3aa,Veterinary Medicines Testing Officer,RWANDA FOOD AND DRUGS AUTHORITY,0ca9c11c-8d09-5737-9fd5-50da983015af,Gakenke,0,entry,"Natural Sciences, Mathematics and Statistics",220000,285901,27/06/2026,02/01/2027,active,449,449
5700003001-212500000000000000-00010,c432a080-ab65-5c31-8370-e1984680936f,Accountant A1,KARONGI District,850a9fe3-e6e6-5af6-a956-e50c7dad50c9,Karongi,0,entry,"Business, Administration and Law",220000,287473,28/06/2026,18/12/2026,active,1417,1417
5000003001-204010000000000000-00051,623651c5-9f9c-594e-b61f-3144392e507f,Driver under contract,MUHANGA DISTRICT,36d554e4-6fbb-53ca-aae7-53010481a5f7,Muhanga,0,entry,Education,220000,295214,18/06/2026,10/11/2026,active,837,837
